token,diff_class1,tfidf_class1
california,0.012118999856558321,0.012555208338573721
fire,0.011982781263454688,0.019149257627547045
suicide,0.010303211069768418,0.011044512781938933
hiroshima,0.010155773680377716,0.010257127925887372
killed,0.009079328229277876,0.009398156915244597
disaster,0.008728664363124621,0.012543322287681827
news,0.008666070681894185,0.012918440805021596
police,0.008487616239179183,0.011384603605802523
wildfire,0.008476252543684677,0.008663468055069774
fires,0.00847501606339274,0.010116208762021404
bombing,0.008076286289653413,0.00835385482359283
storm,0.007932985439340368,0.01119607242440687
train,0.007379263462779225,0.008677197708578829
mh370,0.007149799097691995,0.007149799097691995
northern,0.006643616587134571,0.006643616587134571
families,0.006499539964776143,0.00715480271323499
typhoon,0.006434044016909329,0.006526604598098731
buildings,0.006367911994139329,0.009537577650752787
homes,0.006343931058868598,0.006674101128780735
crash,0.006062562749601838,0.009211291420811727
japan,0.005838944482748743,0.006157671137422197
atomic,0.005764405504232587,0.005950368101643755
accident,0.005759341950047653,0.008095642051417409
attack,0.005684199073687476,0.008300802806848324
legionnaires,0.005640585842722583,0.005640585842722583
